Topic,Event,TimeLine,SE
18,[33],"[0, 80, 22, 24, 345, 28, 17, 13, 13, 27, 47, 18, 13, 31, 73, 18, 17, 15, 55, 31, 21, 26, 20, 30, 11, 22, 8, 13, 10, 18, 18, 12, 13, 36, 21, 17, 5, 12, 19, 10]","[8, 20]"
19,[34],"[0, 221, 93, 23, 17, 22, 19, 25, 27, 22, 22, 11, 9, 18, 23, 19, 12, 12, 25, 12, 6, 14, 15, 6, 9, 22, 17, 21, 10, 14, 13, 3, 14, 11, 11, 8, 2, 10, 28, 4]","[0, 11]"
20,[35],"[0, 267, 86, 17, 14, 22, 24, 22, 33, 37, 38, 40, 55, 55, 150, 53, 61, 53, 52, 32, 20, 28, 28, 24, 28, 21, 20, 21, 21, 17, 17, 10, 17, 21, 16, 27, 11, 19, 40, 4]","[0, 3]"
20,[36],"[0, 267, 86, 17, 14, 22, 24, 22, 33, 37, 38, 40, 55, 55, 150, 53, 61, 53, 52, 32, 20, 28, 28, 24, 28, 21, 20, 21, 21, 17, 17, 10, 17, 21, 16, 27, 11, 19, 40, 4]","[7, 20]"
21,[37],"[0, 204, 70, 21, 14, 14, 25, 17, 8, 24, 26, 24, 20, 15, 45, 25, 21, 26, 39, 41, 11, 29, 40, 29, 17, 64, 140, 44, 26, 27, 44, 32, 13, 46, 113, 22, 4, 51, 19, 36]","[0, 3]"
21,[38],"[0, 204, 70, 21, 14, 14, 25, 17, 8, 24, 26, 24, 20, 15, 45, 25, 21, 26, 39, 41, 11, 29, 40, 29, 17, 64, 140, 44, 26, 27, 44, 32, 13, 46, 113, 22, 4, 51, 19, 36]","[24, 32]"
22,[39],"[0, 254, 45, 9, 23, 13, 24, 42, 45, 25, 11, 14, 11, 17, 51, 21, 12, 21, 56, 49, 11, 15, 21, 13, 19, 12, 11, 9, 11, 7, 31, 7, 10, 17, 13, 11, 8, 33, 12, 7]","[0, 3]"
22,[40],"[0, 254, 45, 9, 23, 13, 24, 42, 45, 25, 11, 14, 11, 17, 51, 21, 12, 21, 56, 49, 11, 15, 21, 13, 19, 12, 11, 9, 11, 7, 31, 7, 10, 17, 13, 11, 8, 33, 12, 7]","[13, 20]"
23,[41],"[0, 262, 236, 19, 50, 18, 9, 11, 12, 24, 29, 18, 19, 10, 30, 7, 25, 14, 21, 22, 14, 9, 11, 21, 12, 15, 15, 20, 13, 14, 12, 35, 39, 24, 12, 23, 85, 20, 19, 16]","[0, 5]"
23,[42],"[0, 262, 236, 19, 50, 18, 9, 11, 12, 24, 29, 18, 19, 10, 30, 7, 25, 14, 21, 22, 14, 9, 11, 21, 12, 15, 15, 20, 13, 14, 12, 35, 39, 24, 12, 23, 85, 20, 19, 16]","[30, 37]"
24,[43],"[0, 521, 111, 11, 17, 4, 6, 13, 10, 4, 4, 3, 2, 2, 24, 9, 5, 5, 13, 4, 2, 5, 6, 8, 11, 10, 10, 21, 35, 19, 6, 28, 27, 23, 13, 15, 45, 35, 6, 10]","[0, 3]"
