,Topic,Time,Document
78,1,38,"[34896, 34977, 35030, 35035, 35051, 35069, 35134, 35154, 35187, 35188, 35244, 35267, 35303, 35363, 35369, 35377, 35390, 35395, 35399]"
79,1,39,[35563]
80,2,0,[]
81,2,1,"[0, 19, 34, 44, 86, 90, 117, 188, 197, 198, 210, 229, 251, 261, 297, 354, 361, 395, 403, 413, 419, 436, 447, 471, 489, 501, 512, 535, 544, 556, 573, 655, 684, 695, 699, 708, 727, 732, 762, 766, 835, 843, 862, 887, 891, 913, 932, 951, 986, 987, 1012, 1058, 1062, 1081, 1086, 1094, 1100, 1103, 1120, 1139, 1251, 1296, 1468, 1471, 1565, 1578, 1662, 1687, 1705, 1776, 1821, 1837, 1853, 1869, 1870, 1879, 1904, 1905, 1909, 1949, 1961, 1964, 1966, 1977, 2034, 2045, 2059, 2073, 2086, 2106, 2158, 2160, 2169, 2238, 2243, 2254, 2256, 2262, 2265, 2274, 2282, 2388, 2431, 2455, 2465, 2473, 2485, 2496, 2524, 2533, 2590, 2597, 2605, 2612, 2632, 2655, 2686, 2692, 2693, 2694, 2738, 2765, 2807, 2862, 2891, 2902, 2908, 2921, 2996, 2997, 3048, 3057, 3082, 3086, 3128, 3157, 3158, 3179, 3187, 3204, 3230, 3237, 3242, 3253, 3263, 3274, 3298, 3299, 3323, 3430, 3445, 3464, 3478, 3489, 3521, 3579, 3605, 3612, 3644, 3676, 3690, 3691, 3704, 3711, 3719, 3729, 3801, 3879, 3960, 3973, 3988, 4010, 4026, 4028, 4077, 4087, 4097, 4099, 4117, 4132, 4197, 4206, 4216, 4254, 4264, 4270, 4285, 4291, 4306, 4322, 4324, 4325, 4349, 4358, 4372, 4373, 4381, 4383, 4436, 4454, 4490, 4512, 4515, 4520, 4534, 4553, 4554, 4585, 4611, 4628, 4641, 4665, 4688, 4747, 4764, 4768, 4963, 5046, 5073, 5086, 5117, 5180, 5181, 5184, 5185, 5189, 5198, 5251, 5295, 5314, 5425, 5499, 5526, 5604, 5642, 5692, 5705, 5707, 5721, 5724, 5735, 5749, 5762, 5841, 5930, 5931, 5991, 6042, 6081, 6114, 6138, 6162, 6174, 6184, 6199, 6222, 6226, 6255, 6262, 6285, 6288, 6294, 6371, 6430, 6438, 6442, 6446, 6477, 6478, 6498, 6503, 6504, 6507, 6522, 6530, 6533, 6535, 6587, 6589, 6601, 6606, 6628, 6631, 6696, 6723, 6793, 6809, 6815, 6844, 6891, 6914, 6943, 6983, 7011, 7142, 7144, 7151, 7239, 7261, 7262, 7283, 7307, 7332, 7342, 7467, 7477, 7510, 7513, 7523, 7586, 7594, 7681, 7686, 7697]"
82,2,2,"[9307, 9350, 9368, 9399, 9447, 9466, 9485, 9504, 9531, 9559, 9576, 9621, 9624, 9641, 9652, 9659, 9661, 9683, 9685, 9687, 9690, 9736, 9737, 9774, 9810, 9822, 9823, 9827, 9828, 9837, 9870, 9910, 9915, 9940, 9951, 9958, 9990, 9991, 10001, 10004, 10050, 10089, 10102, 10131, 10134, 10141, 10153, 10164, 10180, 10219, 10231, 10250, 10272, 10285, 10308, 10322, 10323, 10329, 10334, 10341, 10354, 10363, 10370, 10378, 10425, 10438, 10443, 10498, 10615, 10622, 10695, 10703, 10727, 10741, 10773, 10917, 10980, 10999, 11007, 11009, 11028, 11062, 11085, 11089, 11098, 11110, 11144, 11147, 11190, 11206, 11227, 11251, 11256, 11361, 11379]"
83,2,3,"[11624, 11633, 11654, 11657, 11677, 11716, 11775, 11777, 11779, 11783, 11790, 11807, 11808, 11820, 11828, 11832, 11835, 11839, 11840, 11844, 11846, 11847, 11877, 11884, 11886, 11951, 11964, 11996, 12007, 12068, 12077]"
84,2,4,"[12191, 12202, 12203, 12213, 12220, 12243, 12256, 12295, 12314, 12349, 12387, 12388, 12389, 12393, 12395, 12418, 12443, 12477, 12479, 12499, 12524, 12533, 12557, 12570, 12583, 12585, 12605, 12621, 12676, 12689]"
85,2,5,"[12792, 12796, 12800, 12801, 12805, 12812, 12819, 12904, 12919, 12992, 12999, 13015, 13019, 13020, 13061, 13082, 13096, 13110, 13111, 13129, 13130, 13166, 13201, 13211, 13250, 13261, 13284]"
86,2,6,"[13531, 13544, 13563, 13594, 13628, 13634, 13640, 13665, 13675, 13690, 13773, 13775, 13810, 13830, 13873]"
87,2,7,"[13997, 14030, 14042, 14167, 14168, 14201, 14218, 14219, 14238, 14254, 14268, 14280, 14343, 14353, 14384, 14425, 14475]"
